Simulated Model,Recovered Model
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,2
two_LR,2
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,3
two_LR,2
four_LR,3
one_LR,2
two_LR,3
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,1
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,1
four_LR,3
one_LR,2
two_LR,2
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,1
four_LR,3
one_LR,1
two_LR,1
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,3
two_LR,2
four_LR,1
one_LR,2
two_LR,2
four_LR,3
one_LR,1
two_LR,1
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,2
four_LR,2
one_LR,1
two_LR,1
four_LR,3
one_LR,1
two_LR,2
four_LR,2
one_LR,1
two_LR,2
four_LR,2
one_LR,2
two_LR,2
four_LR,3
one_LR,1
two_LR,1
four_LR,3
one_LR,2
two_LR,2
four_LR,3
one_LR,2
two_LR,2
four_LR,3
one_LR,1
two_LR,3
four_LR,3
one_LR,1
two_LR,1
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,1
four_LR,3
one_LR,3
two_LR,2
four_LR,3
one_LR,1
two_LR,1
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,1
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,3
two_LR,1
four_LR,3
one_LR,1
two_LR,3
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,2
four_LR,3
one_LR,1
two_LR,1
four_LR,3
one_LR,1
two_LR,3
four_LR,3
one_LR,1
two_LR,2
