matlab_id,trial,frequent_choice
1,1,2
1,2,4
1,3,4
1,4,3
1,5,2
1,6,4
1,7,4
1,8,1
1,9,3
1,10,4
1,11,3
1,12,1
1,13,2
1,14,4
1,15,3
1,16,3
1,17,4
1,18,3
1,19,1
1,20,4
1,21,4
1,22,3
1,23,1
1,24,3
1,25,2
1,26,3
1,27,4
1,28,1
1,29,3
1,30,1
1,31,2
1,32,3
1,33,3
1,34,3
1,35,4
1,36,4
1,37,3
1,38,4
1,39,1
1,40,4
1,41,3
1,42,4
1,43,4
1,44,1
1,45,4
1,46,1
1,47,4
1,48,4
1,49,3
1,50,3
1,51,1
1,52,4
1,53,3
1,54,3
1,55,3
1,56,1
1,57,3
1,58,4
1,59,3
1,60,4
1,61,4
1,62,4
1,63,4
1,64,4
1,65,3
1,66,4
1,67,4
1,68,4
1,69,4
1,70,3
1,71,4
1,72,4
1,73,4
1,74,1
1,75,3
1,76,4
1,77,3
1,78,2
1,79,3
1,80,2
1,81,3
1,82,3
1,83,3
1,84,1
1,85,2
1,86,3
1,87,3
1,88,1
1,89,2
1,90,3
1,91,3
1,92,1
1,93,3
1,94,3
1,95,3
1,96,4
1,97,4
1,98,4
1,99,2
1,100,3
1,101,1
1,102,2
1,103,2
1,104,1
1,105,1
1,106,1
1,107,1
1,108,2
1,109,1
1,110,2
1,111,1
1,112,2
1,113,2
1,114,1
1,115,2
1,116,1
1,117,1
1,118,1
1,119,1
1,120,2
1,121,2
1,122,2
1,123,1
1,124,1
1,125,1
1,126,1
1,127,1
1,128,1
1,129,2
1,130,1
1,131,2
1,132,1
1,133,3
1,134,2
1,135,1
1,136,2
1,137,3
1,138,2
1,139,1
1,140,2
1,141,1
1,142,1
1,143,2
1,144,3
1,145,2
1,146,1
1,147,2
1,148,1
1,149,1
1,150,1
1,151,1
1,152,1
1,153,2
1,154,3
1,155,1
1,156,2
1,157,2
1,158,4
1,159,2
1,160,1
1,161,2
1,162,2
1,163,2
1,164,2
1,165,2
1,166,3
1,167,2
1,168,1
1,169,2
1,170,2
1,171,2
1,172,2
1,173,2
1,174,2
1,175,2
1,176,2
1,177,1
1,178,2
1,179,4
1,180,1
1,181,1
1,182,1
1,183,2
1,184,2
1,185,2
1,186,2
1,187,2
1,188,2
1,189,1
1,190,1
1,191,1
1,192,2
1,193,1
1,194,1
1,195,4
1,196,2
1,197,2
1,198,2
1,199,1
1,200,1
3,1,4
3,2,2
3,3,2
3,4,1
3,5,1
3,6,4
3,7,4
3,8,1
3,9,1
3,10,2
3,11,1
3,12,3
3,13,1
3,14,1
3,15,3
3,16,4
3,17,1
3,18,3
3,19,2
3,20,4
3,21,1
3,22,1
3,23,4
3,24,2
3,25,2
3,26,1
3,27,2
3,28,2
3,29,2
3,30,2
3,31,3
3,32,2
3,33,4
3,34,2
3,35,2
3,36,2
3,37,1
3,38,2
3,39,2
