matlab_id,trial,GroupCount,mean_opt_choice
1,1,100,0.39
1,2,100,0.47
1,3,100,0.52
1,4,100,0.6
1,5,100,0.48
1,6,100,0.49
1,7,100,0.45
1,8,100,0.58
1,9,100,0.52
1,10,100,0.48
1,11,100,0.46
1,12,100,0.54
1,13,100,0.55
1,14,100,0.55
1,15,100,0.48
1,16,100,0.55
1,17,100,0.57
1,18,100,0.55
1,19,100,0.53
1,20,100,0.61
1,21,100,0.51
1,22,100,0.54
1,23,100,0.51
1,24,100,0.54
1,25,100,0.59
1,26,100,0.51
1,27,100,0.57
1,28,100,0.5
1,29,100,0.67
1,30,100,0.5
1,31,100,0.5
1,32,100,0.53
1,33,100,0.73
1,34,100,0.53
1,35,100,0.58
1,36,100,0.6
1,37,100,0.57
1,38,100,0.5
1,39,100,0.59
1,40,100,0.58
1,41,100,0.61
1,42,100,0.46
1,43,100,0.47
1,44,100,0.57
1,45,100,0.61
1,46,100,0.56
1,47,100,0.56
1,48,100,0.56
1,49,100,0.59
1,50,100,0.56
1,51,100,0.55
1,52,100,0.54
1,53,100,0.53
1,54,100,0.61
1,55,100,0.49
1,56,100,0.5
1,57,100,0.57
1,58,100,0.61
1,59,100,0.55
1,60,100,0.55
1,61,100,0.45
1,62,100,0.52
1,63,100,0.64
1,64,100,0.62
1,65,100,0.6
1,66,100,0.52
1,67,100,0.61
1,68,100,0.63
1,69,100,0.53
1,70,100,0.58
1,71,100,0.57
1,72,100,0.56
1,73,100,0.55
1,74,100,0.59
1,75,100,0.57
1,76,100,0.55
1,77,100,0.53
1,78,100,0.52
1,79,100,0.48
1,80,100,0.56
1,81,100,0.64
1,82,100,0.48
1,83,100,0.51
1,84,100,0.62
1,85,100,0.52
1,86,100,0.46
1,87,100,0.6
1,88,100,0.51
1,89,100,0.6
1,90,100,0.45
1,91,100,0.55
1,92,100,0.53
1,93,100,0.55
1,94,100,0.56
1,95,100,0.55
1,96,100,0.49
1,97,100,0.63
1,98,100,0.49
1,99,100,0.58
1,100,100,0.56
1,101,100,0.38
1,102,100,0.49
1,103,100,0.61
1,104,100,0.54
1,105,100,0.56
1,106,100,0.54
1,107,100,0.6
1,108,100,0.6
1,109,100,0.58
1,110,100,0.58
1,111,100,0.53
1,112,100,0.5
1,113,100,0.62
1,114,100,0.52
1,115,100,0.63
1,116,100,0.64
1,117,100,0.57
1,118,100,0.62
1,119,100,0.69
1,120,100,0.72
1,121,100,0.59
1,122,100,0.63
1,123,100,0.58
1,124,100,0.6
1,125,100,0.56
1,126,100,0.63
1,127,100,0.6
1,128,100,0.63
1,129,100,0.63
1,130,100,0.7
1,131,100,0.69
1,132,100,0.59
1,133,100,0.69
1,134,100,0.68
1,135,100,0.7
1,136,100,0.62
1,137,100,0.65
1,138,100,0.59
1,139,100,0.64
1,140,100,0.61
1,141,100,0.61
1,142,100,0.64
1,143,100,0.72
1,144,100,0.63
1,145,100,0.64
1,146,100,0.7
1,147,100,0.61
1,148,100,0.63
1,149,100,0.64
1,150,100,0.71
1,151,100,0.71
1,152,100,0.65
1,153,100,0.54
1,154,100,0.61
1,155,100,0.69
1,156,100,0.5
1,157,100,0.64
1,158,100,0.62
1,159,100,0.56
1,160,100,0.58
1,161,100,0.61
1,162,100,0.61
1,163,100,0.58
1,164,100,0.5
1,165,100,0.64
1,166,100,0.68
1,167,100,0.59
1,168,100,0.67
1,169,100,0.61
1,170,100,0.61
1,171,100,0.59
1,172,100,0.63
1,173,100,0.57
1,174,100,0.67
1,175,100,0.71
1,176,100,0.66
1,177,100,0.67
1,178,100,0.62
1,179,100,0.59
1,180,100,0.55
1,181,100,0.66
1,182,100,0.7
1,183,100,0.6
1,184,100,0.67
1,185,100,0.54
1,186,100,0.6
1,187,100,0.55
1,188,100,0.62
1,189,100,0.7
1,190,100,0.59
1,191,100,0.63
1,192,100,0.66
1,193,100,0.58
1,194,100,0.59
1,195,100,0.66
1,196,100,0.56
1,197,100,0.67
1,198,100,0.64
1,199,100,0.57
1,200,100,0.66
3,1,100,0.53
3,2,100,0.55
3,3,100,0.57
3,4,100,0.53
3,5,100,0.49
3,6,100,0.51
3,7,100,0.56
3,8,100,0.48
3,9,100,0.48
3,10,100,0.49
3,11,100,0.44
3,12,100,0.51
3,13,100,0.48
3,14,100,0.58
3,15,100,0.53
3,16,100,0.59
3,17,100,0.5
3,18,100,0.47
3,19,100,0.54
3,20,100,0.5
3,21,100,0.5
3,22,100,0.67
3,23,100,0.62
3,24,100,0.55
3,25,100,0.52
3,26,100,0.5
3,27,100,0.52
3,28,100,0.59
3,29,100,0.47
3,30,100,0.5
3,31,100,0.5
3,32,100,0.54
3,33,100,0.41
3,34,100,0.52
3,35,100,0.5
3,36,100,0.45
3,37,100,0.5
3,38,100,0.62
3,39,100,0.61
3,40,100,0.54
3,41,100,0.59
3,42,100,0.53
3,43,100,0.57
3,44,100,0.48
3,45,100,0.63
3,46,100,0.59
3,47,100,0.49
3,48,100,0.56
3,49,100,0.58
3,50,100,0.53
3,51,100,0.63
3,52,100,0.53
3,53,100,0.54
3,54,100,0.63
3,55,100,0.63
3,56,100,0.52
3,57,100,0.56
3,58,100,0.54
3,59,100,0.57
3,60,100,0.56
3,61,100,0.68
3,62,100,0.53
3,63,100,0.55
3,64,100,0.58
3,65,100,0.58
3,66,100,0.5
3,67,100,0.63
3,68,100,0.64
3,69,100,0.52
3,70,100,0.54
3,71,100,0.48
3,72,100,0.62
3,73,100,0.67
3,74,100,0.52
3,75,100,0.56
3,76,100,0.72
3,77,100,0.55
3,78,100,0.53
3,79,100,0.56
3,80,100,0.54
3,81,100,0.56
3,82,100,0.59
3,83,100,0.63
3,84,100,0.58
3,85,100,0.6
3,86,100,0.59
3,87,100,0.63
3,88,100,0.6
3,89,100,0.64
3,90,100,0.63
3,91,100,0.65
3,92,100,0.68
3,93,100,0.65
3,94,100,0.55
3,95,100,0.59
3,96,100,0.6
3,97,100,0.64
3,98,100,0.59
3,99,100,0.65
3,100,100,0.66
3,101,100,0.56
3,102,100,0.57
3,103,100,0.6
3,104,100,0.56
3,105,100,0.5
3,106,100,0.52
3,107,100,0.49
3,108,100,0.58
3,109,100,0.58
3,110,100,0.6
3,111,100,0.57
3,112,100,0.58
3,113,100,0.65
3,114,100,0.63
3,115,100,0.61
3,116,100,0.66
3,117,100,0.62
3,118,100,0.59
3,119,100,0.58
3,120,100,0.65
3,121,100,0.63
3,122,100,0.64
3,123,100,0.61
3,124,100,0.62
3,125,100,0.64
3,126,100,0.65
3,127,100,0.67
