"success","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","button_pressed","key_press","part","timestamp","unshuffled_button","correct_response","correct_button","correct","value"
"true","fullscreen","0","4333","0.0-0.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","","","","","","","","","","",""
"","pavlovia","1","4343","0.0-1.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","","","","","","","","","","",""
"","html-button-response","2","5749","0.0-2.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","1403.7999999970198","<p>Welcome! Press START to begin.</p><br>","0","","","","","","","",""
"","audio-button-response","3","19597","0.0-3.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","13846.70000000298","audio/mars_instructions_slide2.wav","0","","","","","","","",""
"","audio-button-response","4","28716","0.0-4.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","9118.699999988079","audio/mars_instructions_slide3.wav","0","","","","","","","",""
"","html-keyboard-response","5","29230","0.0-5.0-0.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","null","<div style=""font-size:60px;"">+</div>","","null","fixation","2021-07-16 01:26:08.571","","","","",""
"","mars-trial","6","36455","0.0-5.0-1.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","5115.4000000059605","<img style='border: 4px solid darkgrey;' src='practice/pt1_M1.png'></img>","2","","practice","","0","<img src='practice/pt1_T1.png'></img>","0","true",""
"","html-keyboard-response","7","36960","0.0-6.0-0.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","null","<div style=""font-size:60px;"">+</div>","","null","fixation","2021-07-16 01:26:16.301","","","","",""
"","mars-trial","8","40631","0.0-6.0-1.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","1564.9000000059605","<img style='border: 4px solid darkgrey;' src='practice/pt2_M1.png'></img>","3","","practice","","0","<img src='practice/pt2_T1.png'></img>","0","true",""
"","html-keyboard-response","9","41141","0.0-7.0-0.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","null","<div style=""font-size:60px;"">+</div>","","null","fixation","2021-07-16 01:26:20.483","","","","",""
"","mars-trial","10","44538","0.0-7.0-1.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","1286.9000000059605","<img style='border: 4px solid darkgrey;' src='practice/pt3_M1.png'></img>","0","","practice","","0","<img src='practice/pt3_T1.png'></img>","0","true",""
"","audio-button-response","11","48196","0.0-8.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","3656.7000000029802","audio/mars_instructions_slide4.wav","0","","","","","","","",""
"","call-function","12","48197","0.0-9.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","","","","","","","","","","",""
"","html-keyboard-response","13","48703","0.0-10.0-0.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","null","<div style=""font-size:60px;"">+</div>","","null","fixation","2021-07-16 01:26:28.045","","","","",""
"","mars-trial","14","50732","0.0-10.0-1.0","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","1405.2999999970198","<img style='border: 4px solid darkgrey;' src='img/tf1_1_M_ss3.jpeg'></img>","2","","exp","","0","<img src='img/tf1_1_T1_ss3_md.jpeg'></img>","0","true",""
"","html-keyboard-response","15","51246","0.0-10.0-0.1","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","null","<div style=""font-size:60px;"">+</div>","","null","fixation","2021-07-16 01:26:30.587","","","","",""
"","mars-trial","16","54547","0.0-10.0-1.1","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","2677.2999999970198","<img style='border: 4px solid darkgrey;' src='img/tf1_2_M_ss1.jpeg'></img>","1","","exp","","0","<img src='img/tf1_2_T1_ss1_md.jpeg'></img>","0","true",""
"","html-keyboard-response","17","55061","0.0-10.0-0.2","842","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3337""
","
","null","<div style=""font-size:60px;"">+</div>","","null","fixation","2021-07-16 01:26:34.402","","","","",""
