sub_id,age,gender,age_group
179,10.63333333,Male,Children
217,14.55277778,Female,Adolescents
A102,20.11666667,Male,Adults
216,15.53055556,Female,Adolescents
226,12.35555556,Male,Children
A109,20.10555556,Female,Adults
A785,24.09722222,Male,Adults
A428,24.59444444,Female,Adults
A1068,22.21111111,Male,Adults
239,17.40833333,Male,Adolescents
A791,25.69444444,Female,Adults
245,10.21666667,Male,Children
A107,21.57222222,Female,Adults
A111,22.28055556,Male,Adults
A206,23.35277778,Female,Adults
A557,24.17222222,Male,Adults
795,11.075,Male,Children
A106,19.75555556,Female,Adults
A896,24.43055556,Female,Adults
A586,19.40555556,Male,Adults
A130,22.45,Male,Adults
A790,24.75833333,Female,Adults
A188,18.91666667,Female,Adults
192,15.16111111,Male,Adolescents
A941,25.62777778,Male,Adults
A544,20.57222222,Male,Adults
A1032,23.88888889,Female,Adults
A198,22.3,Female,Adults
A116,21.06388889,Female,Adults
A1124,22.89166667,Female,Adults
291,16.52222222,Male,Adolescents
857,17.21111111,Female,Adolescents
894,9.975,Male,Children
A535,25.275,Female,Adults
859,13.53611111,Female,Adolescents
858,16.00555556,Female,Adolescents
A573,21.16944444,Male,Adults
188,16.36944444,Male,Adolescents
236,12.58611111,Female,Children
198,8.258333333,Male,Children
147,13.21666667,Male,Adolescents
782,12.74444444,Female,Children
796,17.50277778,Female,Adolescents
887,10.22222222,Male,Children
A110,20.38055556,Female,Adults
863,16.55277778,Male,Adolescents
250,17.67777778,Male,Adolescents
641,9.994444444,Male,Children
513,14.90277778,Male,Adolescents
211,12.38611111,Female,Children
593,11.99166667,Female,Children
594,15.74722222,Female,Adolescents
515,15.07777778,Male,Adolescents
407,13.03611111,Male,Adolescents
277,15.80555556,Female,Adolescents
519,12.61666667,Male,Children
924,8.941666667,Male,Children
930,8.541666667,Male,Children
403,16.12222222,Female,Adolescents
200,9.569444444,Female,Children
139,10.625,Female,Children
733,10.96944444,Female,Children
908,11.65277778,Female,Children
909,9.069444444,Female,Children
646,8.008333333,Male,Children
A1161,21.36111111,Female,Adults
914,9.441666667,Male,Children
A333,25.64444444,Male,Adults
947,9.386111111,Male,Children
870,11.02222222,Female,Children
875,9.958333333,Female,Children
946,9.388888889,Female,Children
935,9.966666667,Male,Children
929,13.18055556,Male,Adolescents
A1176,22.48888889,Female,Adults
208,10.44444444,Female,Children
130,11.50833333,Male,Children
959,12.67222222,Male,Children
923,11.01944444,Male,Children
A367,23.98888889,Male,Adults
957,13.72777778,Male,Adolescents
182,14.42777778,Male,Adolescents
600,13.42777778,Female,Adolescents
871,11.40277778,Female,Children
A476,22.80555556,Female,Adults
839,8.480555556,Male,Children
249,14.91388889,Male,Adolescents
814,9.291666667,Female,Children
A1225,18.69444444,Female,Adults
900,11.66111111,Female,Children
A1358,18.41388889,Male,Adults
627,14.13888889,Male,Adolescents
A1380,20.90833333,Male,Adults
954,15.65277778,Female,Adolescents
A121,20.425,Female,Adults
841,14.11111111,Female,Adolescents
980,10.25277778,Female,Children
995,11.93611111,Male,Children
979,11.64444444,Female,Children
981,15.2,Female,Adolescents
842,17.88333333,Female,Adolescents
A115,21.88333333,Male,Adults
A1379,18.29444444,Female,Adults
A1353,19.34166667,Female,Adults
A161,20.96111111,Female,Adults
A294,25.46111111,Male,Adults
A1406,19.54166667,Male,Adults
1046,16.90555556,Male,Adolescents
A385,21.11944444,Male,Adults
A675,23.66666667,Male,Adults
231,14.55,Male,Adolescents
117,16.625,Female,Adolescents
1025,8.369444444,Female,Children
628,11.53611111,Male,Children
A1232,19.38055556,Male,Adults
A1354,18.33333333,Male,Adults
A1411,25.71666667,Female,Adults
A217,25.76388889,Female,Adults
A577,23.45,Female,Adults
A480,25.16666667,Female,Adults
1054,14.32777778,Female,Adolescents
A137,25.35277778,Female,Adults
1086,8.041666667,Female,Children
1050,8.088888889,Female,Children
1079,12.51388889,Female,Children
976,10.68333333,Female,Children
1080,8.511111111,Female,Children
1030,16.43611111,Female,Adolescents
1078,14.675,Male,Adolescents
1018,16.06944444,Female,Adolescents
311,16.62777778,Female,Adolescents
889,12.34722222,Female,Children
1089,16.19722222,Female,Adolescents
527,15.175,Male,Adolescents
202,13.98333333,Male,Adolescents
890,15.00833333,Female,Adolescents
1069,13.73611111,Male,Adolescents
595,16.22222222,Female,Adolescents
543,9.241666667,Female,Children
228,17.54166667,Female,Adolescents
143,14.26388889,Male,Adolescents
1119,13.975,Female,Adolescents
