"trial_type","trial_index","time_elapsed","internal_node_id","sub_id","risk_good_first","block1_A","block1_B","block1_C","block1_D","block2_A","block2_B","block2_C","block2_D","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","rt","stimulus","key_press","button_pressed","task_part","timestamp","card_choice","choice_position","points_earned","block","correct","response"
"pavlovia","0","6","0.0-0.0","216","true","img/card_backs/set1/green.gif","img/card_backs/set1/red.gif","img/card_backs/set1/yellow.gif","img/card_backs/set1/purple.gif","img/card_backs/set2/gray.gif","img/card_backs/set2/pink.gif","img/card_backs/set2/orange.gif","img/card_backs/set2/blue.gif","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","","","","","","","","","","","","",""
"fullscreen","1","5579","0.0-1.0","216","true","img/card_backs/set1/green.gif","img/card_backs/set1/red.gif","img/card_backs/set1/yellow.gif","img/card_backs/set1/purple.gif","img/card_backs/set2/gray.gif","img/card_backs/set2/pink.gif","img/card_backs/set2/orange.gif","img/card_backs/set2/blue.gif","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","true","","","","","","","","","","","",""
"audio-keyboard-response","2","8426","0.0-2.0","216","true","img/card_backs/set1/green.gif","img/card_backs/set1/red.gif","img/card_backs/set1/yellow.gif","img/card_backs/set1/purple.gif","img/card_backs/set2/gray.gif","img/card_backs/set2/pink.gif","img/card_backs/set2/orange.gif","img/card_backs/set2/blue.gif","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","","2741","audio/beep_loop.wav","32","","","","","","","","",""
"audio-button-response","3","10413","0.0-3.0","216","true","img/card_backs/set1/green.gif","img/card_backs/set1/red.gif","img/card_backs/set1/yellow.gif","img/card_backs/set1/purple.gif","img/card_backs/set2/gray.gif","img/card_backs/set2/pink.gif","img/card_backs/set2/orange.gif","img/card_backs/set2/blue.gif","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","","NaN","audio/turtle.mp3","","3","","","","","","","",""
"audio-button-response","4","12740","0.0-4.0","216","true","img/card_backs/set1/green.gif","img/card_backs/set1/red.gif","img/card_backs/set1/yellow.gif","img/card_backs/set1/purple.gif","img/card_backs/set2/gray.gif","img/card_backs/set2/pink.gif","img/card_backs/set2/orange.gif","img/card_backs/set2/blue.gif","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","","NaN","audio/shark.mp3","","2","","","","","","","",""
"fullscreen","5","16587","0.0-5.0","216","true","img/card_backs/set1/green.gif","img/card_backs/set1/red.gif","img/card_backs/set1/yellow.gif","img/card_backs/set1/purple.gif","img/card_backs/set2/gray.gif","img/card_backs/set2/pink.gif","img/card_backs/set2/orange.gif","img/card_backs/set2/blue.gif","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","true","","","","","","","","","","","",""
"casino-keyboard-response","6","23171","0.0-6.0-0.0","216","true","img/card_backs/set1/green.gif","img/card_backs/set1/red.gif","img/card_backs/set1/yellow.gif","img/card_backs/set1/purple.gif","img/card_backs/set2/gray.gif","img/card_backs/set2/pink.gif","img/card_backs/set2/orange.gif","img/card_backs/set2/blue.gif","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","","6576.449999993201","Welcome to the casino!","71","","instructions","2021-03-30 22:48:10.644","","","","","",""
"casino-keyboard-response","7","33069","0.0-6.0-0.1","216","true","img/card_backs/set1/green.gif","img/card_backs/set1/red.gif","img/card_backs/set1/yellow.gif","img/card_backs/set1/purple.gif","img/card_backs/set2/gray.gif","img/card_backs/set2/pink.gif","img/card_backs/set2/orange.gif","img/card_backs/set2/blue.gif","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","","9894.195000000764","Today you will be playing a game to earn tokens. </br> At the end of the experiment, you will be paid a bonus based on how many tokens you win. ","69","","instructions","2021-03-30 22:48:20.543","","","","","",""
"casino-keyboard-response","8","40788","0.0-6.0-0.2","216","true","img/card_backs/set1/green.gif","img/card_backs/set1/red.gif","img/card_backs/set1/yellow.gif","img/card_backs/set1/purple.gif","img/card_backs/set2/gray.gif","img/card_backs/set2/pink.gif","img/card_backs/set2/orange.gif","img/card_backs/set2/blue.gif","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","","7714.334999996936","On every turn, you will be shown four different decks of cards. </br> You need to select a card from one of the four decks.  ","75","","instructions","2021-03-30 22:48:28.261","","","","","",""
"casino-keyboard-response","9","45699","0.0-6.0-0.3","216","true","img/card_backs/set1/green.gif","img/card_backs/set1/red.gif","img/card_backs/set1/yellow.gif","img/card_backs/set1/purple.gif","img/card_backs/set2/gray.gif","img/card_backs/set2/pink.gif","img/card_backs/set2/orange.gif","img/card_backs/set2/blue.gif","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""4597""
","
","","4906.575000000885","On the next screen, you will see what the decks will look like. ","66","","instructions","2021-03-30 22:48:33.172","","","","","",""
